house_type,house_size,location,latitude,longitude,price,numBathrooms,SecurityDeposit,Status
2 BHK Apartment ,"1,055 sq ft",DN Nagar,19.12368774,72.82952881,55000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,400 sq ft",Santacruz East,19.0825882,72.85115051,62000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,900 sq ft,Thane West,19.26460266,72.96596527,23000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,000 sq ft",Kandivali East,19.19844627,72.8572998,44000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,830 sq ft,Bhandup West,19.15110016,72.94132233,35000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,150 sq ft",Colaba,18.90838814,72.81639862,80000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,025 sq ft",Airoli,19.18170357,72.99532318,27000,2.0," 1,00,000",Unfurnished
1 BHK Apartment ,650 sq ft,Dombivali East,19.20571518,73.09552765,15000,1.0," 60,000",Furnished
1 BHK Apartment ,645 sq ft,Andheri East,19.11577797,72.87003326,30000,2.0," 1,00,000",Furnished
2 BHK Apartment ,835 sq ft,Thane West,19.22903824,72.98190308,28000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,830 sq ft",Kandivali East,19.20110893,72.87722778,80000,3.0,No Deposit,Semi-Furnished
2 BHK Apartment ,750 sq ft,Chembur,19.05188942,72.8862381,60000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,019 sq ft",Kanjurmarg East,19.13225174,72.93518829,34000,2.0,No Deposit,Furnished
1 BHK Apartment ,450 sq ft,Goregaon West,19.16876793,72.83560181,26000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,100 sq ft",Kharghar,19.07118607,73.07369232,13000,2.0," 35,000",Furnished
3 BHK Apartment ,"1,500 sq ft",Lower Parel,18.9940567,72.8314743,250000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,800 sq ft,Andheri West,19.13939095,72.8276062,65000,2.0,No Deposit,Furnished
1 BHK Apartment ,590 sq ft,Andheri East,19.11567116,72.88295746,46000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,350 sq ft",Lower Parel,19.00477219,72.82813263,100000,2.0,No Deposit,Semi-Furnished
